 ICAO 	 Name	Lat     	 Lon	Lvl	 BNL 	Edit date	Editor
EDSB	Karlsruhe	4846730N	00804860E	4	0		
EDTY	Schwabische Halle	4907350N	00946760E	4	0		
EDUW	Wildenrath	5106750N	00612950E	2	0		
EDVI	Hoexter	5148460N	00922460E	4	0		
EDVW	Bad Pyrmont	5158090N	00917600E	3	0		
EDVY	Porta Westfalica	5213370N	00851790E	3	0		
EDWN	Nordhorn	5227500N	00711110E	3	0		
EDXE	Rheine	5216550N	00729480E	3	0		
EDZZ	Stolberg	5046780N	00616750E	2	0		
EDZZ	Goch	5141460N	00606430E	3	0		
EDZZ	Asslar	5035850N	00826600E	3	0		
EDZZ	Hattorf	5138130N	01015370E	2	0		
EDZZ	Bad Marienberg	5039600N	00801750E	3	0		
EDZZ	Bergheim	5058670N	00636470E	2	0		
EDZZ	Bisperode	5204700N	00928600E	2	0		
EDZZ	Borghorst	5209070N	00727190E	2	0		
EDZZ	Braunfels	5031280N	00823450E	2	0		
EDZZ	Cham	4912620N	01239460E	2	0		
EDZZ	Daun	5010700N	00651830E	2	0		
EDZZ	Dorsten	5139760N	00658210E	2	0		
EDZZ	Ruedesheim	5000950N	00753780E	2	0		
EDZZ	Emmerich	5149450N	00616470E	2	0		
EDZZ	Essweiler	4933620N	00734700E	2	0		
EDZZ	Eudenbach	5040370N	00721730E	2	0		
EDZZ	Frechen	5055280N	00646370E	2	0		
EDZZ	Halver	5110450N	00730700E	2	0		
EDZZ	Hellenhagen	5201520N	00933870E	2	0		
EDZZ	Hengsen	5128480N	00739310E	2	0		
EDZZ	Hilden	5111250N	00658480E	2	0		
EDZZ	Hirzenhain	5047320N	00823740E	2	0		
EDZZ	Hoerbach	5040250N	00813370E	2	0		
EDZZ	Hornberg	4844680N	00951750E	2	0		
EDZZ	Iserlohn	5125780N	00738600E	2	0		
EDZZ	Kamen-Heeren	5135410N	00742530E	2	0		
EDZZ	Klippeneck	4806450N	00845790E	2	0		
EDZZ	Langenfeld	5108480N	00659120E	2	0		
EDZZ	Laufenselden	5013550N	00759950E	2	0		
EDZZ	Luenen	5137070N	00730100E	3	0		
EDZZ	Meiersberg	5117950N	00657460E	2	0		
EDZZ	Menden	5127020N	00749960E	2	0		
EDZZ	Montabaur	5025450N	00749630E	2	0		
EDZZ	Nastatten	5011780N	00753450E	2	0		
EDZZ	Bexbach	4920450N	00715460E	3	0		
EDZZ	Oeventrop	5123770N	00808870E	2	0		
EDZZ	Radevormwald	5113000N	00722960E	2	0		
EDZZ	Saal	5018633N	01022400E	2	0		
EDZZ	Sevelen	5129350N	00625650E	2	0		
EDZZ	Singhofen	5016330N	00751350E	2	0		
EDZZ	Sinzig	5030550N	00715350E	2	0		
EDZZ	Sundern	5118460N	00758960E	2	0		
EHAM	Amsterdam	5218000N	00446000E	5	0		
EHBD	Budel	5115300N	00535980E	4	0		
EHBK	Maastricht	5054520N	00546320E	5	0		
EHDL	Deelen	5203500N	00552370E	3	0		
EHDP	De Peel	5130950N	00551400E	2	0		
EHDR	Drachten	5307080N	00607720E	3	0		
EHEH	Eindhoven	5126780N	00523230E	5	0		
EHGG	Groningen	5307160N	00635000E	3	0		
EHGR	Gilze-Rijen	5134050N	00455550E	3	0		
EHHO	Hoogeveen	5243870N	00630950E	3	0		
EHHV	Hilversum	5211300N	00508450E	3	0		
EHLE	Lelystad	5227320N	00531330E	4	0		
EHLW	Leeuwarden	5314000N	00545000E	4	0		
EHRD	Rotterdam	5157420N	00426230E	5	0		
EHSB	Soesterberg	5207650N	00516830E	3	0		
