 ICAO 	 Name	Lat     	 Lon	Lvl	 BNL 	Edit date	Editor
LSZO	Lugano	4600217N	00854617E	3	0		
LSZO	Luzern	4711400N	00812283E	3	0		
LSZP	Biel	4705350N	00717400E	3	0		
LSZS	Samedan	4632067N	00953033E	4	0		
LSZU	Buttwil	4715883N	00818150E	3	0		
LSZW	Thun	4645383N	00736033E	3	0		
LZMA	Martin	4904000N	01857000E	3	0		
LZNI	Nitra	4816800N	01808033E	4	0		
LZPE	Prievidza	4846000N	01835400E	3	0		
LZPT	Partizanske	4837183N	01819900E	3	0		
LZZZ	Dolny-Hricov	4914017N	01836900E	3	0		
NZGT	GlenTanner	4354500S	17007600E	3	0		
NZLX	Alexandra	4512300S	16922100E	3	0		
NZOA	Omarama	4429080S	16958660E	4	0		
YARM	Armidale	3032000S	15136916E	3	0		
YBLA	Benalla	3633350S	14600333E	4	0		
YBRN	Balranald	3437550S	14334483E	3	0		
YBTH	Bathurst	3324567S	14939117E	3	0		
YBZZ	Baradine	3057467S	14905500E	3	0		
YCAH	Coolah	3146500S	14936500E	3	0		
YCBB	Coonabarabran	3120000S	14915700E	3	0		
YCBR	Collarenebri	2931317S	14834933E	3	0		
YCDO	Condobolin	3304300S	14712700E	3	0		
YCNM	Coonamble	3058633S	14822733E	3	0		
YCOR	Corowa	3559467S	14621200E	3	0		
YCTM	Cootamundra	3437667S	14802333E	3	0		
YCUA	Cudal	3316200S	14846350E	3	0		
YCZZ	Carinda	3027550S	14742617E	3	0		
YCZZ	Collie	3139417S	14820017E	3	0		
YFBS	Forbes	3322083S	14755750E	3	0		
YGDH	Gunnedah	3057550S	15014659E	3	0		
YGDI	Goondiwindi	2831350S	15019433E	3	0		
YGIL	Gilgandra	3141900S	14838133E	3	0		
YGZZ	Gawler	3436083S	13843033E	3	0		
YHAY	Hay	3431933S	14449800E	3	0		
YHLS	Hillston	3329783S	14531367E	3	0		
YIVL	Inverell	2953300S	15108650E	3	0		
YKEP	Lake Keepit	3053440S	15031550E	3	0		
YKRY	Kingaroy	2635017S	15150500E	3	0		
YLRD	Lightning Ridge	2927500S	14759000E	3	0		
YMDG	Mudgee	3233750S	14936667E	3	0		
YMGI	Mungindi	2858000S	14903500E	3	0		
YMOR	Moree	2929900S	14950950E	3	0		
YMZZ	Mungeribar	3208283S	14806783E	3	0		
YNBR	Narrabri	3019217S	14949667E	3	0		
YNRM	Narromine	3213050S	14813450E	3	0		
YNYN	Nyngan	3133183S	14712183E	3	0		
YPKS	Parkes	3308383S	14813933E	3	0		
YPZZ	Peak Hill	3243917S	14812600E	3	0		
YQDI	Quirindi	3129917S	15031083E	3	0		
YREN	Renmark	3411933S	14040850E	3	0		
YSCO	Scone	3202333S	15050000E	3	0		
YSDU	Dubbo	3213100S	14834420E	3	0		
YSPE	Stanthorpe	2837000S	15159000E	3	0		
YSTW	Tamworth	3105033S	15050800E	3	0		
YSWH	Swan Hill	3522833S	14332167E	3	0		
YTEM	Temora	3425367S	14730633E	3	0		
YTOC	Tocumwal	3548500S	14536000E	3	0		
YTOT	Tottenham	3215267S	14722117E	3	0		
YTWN	Tooraweenah	3126500S	14854000E	3	0		
YTZZ	Trangie	3158900S	14800100E	3	0		
YWEL	Maryvale	3228000S	14859000E	3	0		
YWEL	Wellington	3228800S	14859000E	3	0		
YWKI	Waikerie	3411000S	14001800E	3	0		
YWKW	Warkworth	3233000S	15101500E	3	0		
YWLG	Walgett	3001983S	14807083E	3	0		
YWRL	Warialda	2932000S	15032000E	3	0		
YWRN	Warren	3144850S	14748183E	3	0		
YWWA	Wee Waa	3015300S	14924850E	3	0		
YYNG	Young	3415383S	14814733E	3	0		
YZZZ	Barraba	3023600S	15035860E	3	0		
EBSL	Zutendaal	5056977N	00535618E	3	1	22/08/2018	Mattijs
