49°58,180'N	006°12,000'E
49°58,310'N	006°11,470'E
49°58,200'N	006°10,880'E
49°57,410'N	006°10,880'E
49°58,310'N	006°10,110'E
49°59,190'N	006°10,390'E
49°59,680'N	006°09,160'E
50°00,760'N	006°09,090'E
50°00,910'N	006°08,470'E
50°01,470'N	006°09,160'E
50°01,890'N	006°08,150'E
50°02,590'N	006°08,400'E
50°03,770'N	006°07,280'E
50°04,360'N	006°08,080'E
50°05,300'N	006°07,490'E
50°05,480'N	006°07,800'E
50°06,110'N	006°08,330'E
50°06,890'N	006°08,080'E
50°07,900'N	006°08,500'E
50°07,900'N	006°08,500'E
50°08,360'N	006°09,280'E
50°09,120'N	006°09,350'E
50°08,950'N	006°08,570'E
50°09,380'N	006°07,930'E
50°09,550'N	006°08,940'E
50°10,050'N	006°08,710'E
50°10,680'N	006°08,810'E
50°10,290'N	006°09,620'E
50°10,720'N	006°10,030'E
50°10,830'N	006°11,550'E
50°11,610'N	006°11,140'E
50°12,340'N	006°11,280'E
50°13,040'N	006°10,870'E
50°13,210'N	006°10,130'E
50°13,490'N	006°10,190'E
50°13,600'N	006°10,630'E
50°14,140'N	006°10,570'E
50°14,250'N	006°11,780'E
50°15,100'N	006°12,500'E
50°16,030'N	006°15,540'E
50°16,030'N	006°16,820'E
50°16,700'N	006°17,600'E
50°17,080'N	006°17,260'E
50°17,800'N	006°17,200'E
50°18,200'N	006°18,040'E
50°18,590'N	006°17,870'E
50°19,470'N	006°19,700'E
50°19,210'N	006°20,200'E
50°18,300'N	006°21,800'E
50°19,320'N	006°23,080'E
50°19,360'N	006°24,360'E
50°20,100'N	006°24,500'E
50°22,800'N	006°20,800'E
50°24,610'N	006°22,300'E
50°25,210'N	006°22,060'E
50°26,110'N	006°22,740'E
50°27,360'N	006°22,470'E
50°27,230'N	006°21,930'E
50°27,700'N	006°20,400'E
50°29,200'N	006°21,100'E
50°30,000'N	006°18,700'E
50°30,230'N	006°16,280'E
50°29,890'N	006°15,770'E
50°30,190'N	006°15,170'E
50°29,700'N	006°13,700'E
50°31,260'N	006°12,490'E
50°31,300'N	006°11,610'E
50°31,560'N	006°11,380'E
50°32,230'N	006°11,990'E
50°32,510'N	006°10,770'E
50°33,400'N	006°10,500'E
50°34,210'N	006°12,290'E
50°35,460'N	006°13,710'E
50°35,300'N	006°14,500'E
50°37,200'N	006°16,380'E
50°37,700'N	006°16,000'E
50°37,590'N	006°14,320'E
50°37,930'N	006°13,370'E
50°37,970'N	006°11,920'E
50°37,400'N	006°11,240'E
50°37,550'N	006°10,630'E
50°38,020'N	006°11,140'E
50°38,660'N	006°10,060'E
50°38,900'N	006°11,000'E
50°43,300'N	006°07,000'E
50°43,370'N	006°03,800'E
50°43,800'N	006°02,600'E
50°44,800'N	006°02,400'E
50°45,300'N	006°01,200'E
50°46,400'N	006°01,500'E
50°47,800'N	005°58,400'E
50°48,600'N	005°58,900'E
50°48,100'N	006°00,100'E
50°48,900'N	006°01,300'E
50°50,800'N	006°01,100'E
50°51,400'N	006°03,200'E
50°50,800'N	006°04,400'E
50°52,300'N	006°05,100'E
50°53,500'N	006°04,500'E
