49°41,650'N	005°15,300'E
49°41,870'N	005°16,110'E
49°41,500'N	005°16,820'E
49°41,060'N	005°17,030'E
49°40,400'N	005°18,450'E
49°39,240'N	005°20,010'E
49°38,840'N	005°19,090'E
49°37,530'N	005°18,310'E
49°36,690'N	005°18,790'E
49°37,050'N	005°19,530'E
49°37,000'N	005°20,310'E
49°37,900'N	005°20,820'E
49°37,220'N	005°23,190'E
49°36,590'N	005°24,540'E
49°35,580'N	005°25,860'E
49°35,400'N	005°25,690'E
49°34,210'N	005°26,230'E
49°34,060'N	005°27,410'E
49°33,420'N	005°26,970'E
49°33,160'N	005°26,540'E
49°32,390'N	005°27,920'E
49°31,560'N	005°28,020'E
49°31,580'N	005°27,680'E
49°31,010'N	005°26,870'E
49°30,530'N	005°27,920'E
49°29,980'N	005°27,920'E
49°29,910'N	005°28,460'E
49°30,440'N	005°28,940'E
49°30,440'N	005°30,050'E
49°30,940'N	005°32,490'E
49°31,400'N	005°32,590'E
49°31,820'N	005°33,470'E
49°31,560'N	005°33,840'E
49°31,710'N	005°34,250'E
49°31,010'N	005°36,070'E
49°30,570'N	005°36,210'E
49°30,350'N	005°36,610'E
49°31,200'N	005°37,320'E
49°31,620'N	005°36,920'E
49°32,500'N	005°37,900'E
49°32,980'N	005°38,570'E
49°33,240'N	005°39,660'E
49°32,430'N	005°42,160'E
49°32,430'N	005°43,140'E
49°32,760'N	005°43,920'E
49°32,410'N	005°44,320'E
49°32,370'N	005°44,800'E
49°32,590'N	005°45,440'E
49°33,730'N	005°45,510'E
49°33,840'N	005°46,490'E
49°33,220'N	005°47,400'E
49°32,870'N	005°48,850'E
49°32,916'N	005°49,044'E
49°32,810'N	005°49,080'E
49°32,690'N	005°48,620'E
49°32,240'N	005°49,040'E
49°32,600'N	005°50,270'E
49°31,880'N	005°50,760'E
49°31,670'N	005°50,130'E
49°31,310'N	005°50,230'E
49°30,100'N	005°51,880'E
49°29,830'N	005°53,630'E
49°30,160'N	005°54,500'E
49°30,090'N	005°56,560'E
49°29,730'N	005°57,150'E
