50°46,200'N	005°53,100'E
50°45,430'N	005°53,390'E
50°45,100'N	005°54,100'E
50°45,040'N	005°54,850'E
50°45,800'N	005°57,500'E
50°45,600'N	005°58,490'E
50°45,220'N	005°58,730'E
50°45,300'N	006°01,200'E
50°44,800'N	006°02,400'E
50°43,800'N	006°02,600'E
50°43,370'N	006°03,800'E
50°43,300'N	006°07,000'E
50°38,900'N	006°11,000'E
50°38,660'N	006°10,060'E
50°38,020'N	006°11,140'E
50°37,550'N	006°10,630'E
50°37,400'N	006°11,240'E
50°37,970'N	006°11,920'E
50°37,930'N	006°13,370'E
50°37,590'N	006°14,320'E
50°37,700'N	006°16,000'E
50°37,200'N	006°16,380'E
50°35,300'N	006°14,500'E
50°35,460'N	006°13,710'E
50°34,210'N	006°12,290'E
50°33,400'N	006°10,500'E
50°32,510'N	006°10,770'E
50°32,230'N	006°11,990'E
50°31,560'N	006°11,380'E
50°31,300'N	006°11,610'E
50°31,260'N	006°12,490'E
50°29,700'N	006°13,700'E
50°30,190'N	006°15,170'E
50°29,890'N	006°15,770'E
50°30,230'N	006°16,280'E
50°30,000'N	006°18,700'E
50°29,200'N	006°21,100'E
50°27,700'N	006°20,400'E
50°27,230'N	006°21,930'E
50°27,360'N	006°22,470'E
50°26,110'N	006°22,740'E
50°25,210'N	006°22,060'E
50°24,610'N	006°22,300'E
50°22,800'N	006°20,800'E
50°20,100'N	006°24,500'E
50°19,360'N	006°24,360'E
50°19,320'N	006°23,080'E
50°18,300'N	006°21,800'E
50°19,210'N	006°20,200'E
50°19,470'N	006°19,700'E
50°18,590'N	006°17,870'E
50°18,200'N	006°18,040'E
50°17,800'N	006°17,200'E
50°17,080'N	006°17,260'E
50°16,700'N	006°17,600'E
50°16,030'N	006°16,820'E
50°16,030'N	006°15,540'E
50°15,100'N	006°12,500'E
50°14,250'N	006°11,780'E
50°14,140'N	006°10,570'E
50°13,600'N	006°10,630'E
50°13,490'N	006°10,190'E
50°13,210'N	006°10,130'E
50°13,040'N	006°10,870'E
50°12,340'N	006°11,280'E
50°11,610'N	006°11,140'E
50°10,830'N	006°11,550'E
50°10,720'N	006°10,030'E
50°10,290'N	006°09,620'E
50°10,680'N	006°08,810'E
50°10,050'N	006°08,710'E
50°09,550'N	006°08,940'E
50°09,380'N	006°07,930'E
50°08,950'N	006°08,570'E
50°09,120'N	006°09,350'E
50°08,360'N	006°09,280'E
50°07,900'N	006°08,500'E
50°08,300'N	006°07,000'E
50°09,800'N	006°07,200'E
50°10,310'N	006°06,140'E
50°10,300'N	006°05,000'E
50°09,660'N	006°04,850'E
50°09,500'N	006°04,500'E
50°09,250'N	006°03,730'E
50°09,900'N	006°02,000'E
50°11,000'N	006°01,600'E
50°10,590'N	006°00,150'E
50°10,400'N	005°58,000'E
50°07,800'N	005°57,700'E
50°07,580'N	005°55,690'E
50°06,800'N	005°53,800'E
50°06,090'N	005°53,720'E
50°05,550'N	005°53,220'E
50°04,697'N	005°53,291'E
50°04,220'N	005°51,730'E
50°03,600'N	005°51,390'E
50°02,840'N	005°52,300'E
50°02,210'N	005°51,490'E
50°01,730'N	005°51,700'E
50°01,250'N	005°50,680'E
50°00,780'N	005°49,190'E
49°59,840'N	005°49,500'E
49°59,470'N	005°50,000'E
49°59,410'N	005°50,410'E
49°58,800'N	005°50,340'E
49°58,260'N	005°48,750'E
49°57,800'N	005°48,650'E
49°57,780'N	005°48,080'E
49°57,970'N	005°47,770'E
49°57,540'N	005°46,590'E
49°56,950'N	005°46,320'E
49°56,280'N	005°46,560'E
49°55,780'N	005°45,950'E
49°54,850'N	005°45,710'E
49°54,270'N	005°44,360'E
49°53,830'N	005°44,150'E
49°53,050'N	005°46,760'E
49°52,310'N	005°46,930'E
49°52,010'N	005°46,590'E
49°52,310'N	005°46,280'E
49°52,250'N	005°45,170'E
49°51,380'N	005°45,610'E
49°51,190'N	005°44,730'E
49°50,990'N	005°45,610'E
49°49,970'N	005°44,360'E
49°48,920'N	005°45,070'E
49°47,510'N	005°45,270'E
49°47,730'N	005°46,620'E
49°47,710'N	005°47,470'E
49°47,210'N	005°47,640'E
49°45,880'N	005°48,790'E
49°44,960'N	005°49,460'E
49°44,980'N	005°49,940'E
49°43,510'N	005°49,530'E
49°43,380'N	005°50,880'E
49°43,670'N	005°51,970'E
49°42,570'N	005°53,220'E
49°41,610'N	005°52,030'E
49°40,890'N	005°51,800'E
49°40,540'N	005°51,970'E
49°39,910'N	005°54,710'E
49°39,270'N	005°54,230'E
49°38,270'N	005°54,370'E
49°38,140'N	005°53,220'E
49°37,530'N	005°53,010'E
49°37,240'N	005°52,570'E
49°36,530'N	005°52,610'E
49°35,830'N	005°50,880'E
49°35,240'N	005°51,120'E
49°35,170'N	005°51,830'E
49°35,410'N	005°52,340'E
49°34,470'N	005°52,370'E
49°33,700'N	005°50,750'E
49°33,270'N	005°50,580'E
49°33,070'N	005°49,670'E
49°32,870'N	005°48,850'E
49°33,220'N	005°47,400'E
49°33,840'N	005°46,490'E
